x1,x2,x3
0,0,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
1,0,0
0,0,0
0,1,0
1,0,0
0,0,0
1,0,0
0,1,0
0,1,0
1,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,1,0
1,0,0
0,0,0
1,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,0
1,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
1,0,0
1,0,0
0,1,0
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
1,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,1,0
1,0,0
1,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
1,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,1,0
1,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
1,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
1,0,0
0,1,0
0,1,0
0,1,0
1,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,1,0
0,1,0
1,0,0
0,1,0
0,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,0
1,0,0
1,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
1,0,0
1,0,0
0,1,0
1,0,0
0,1,0
0,1,0
0,1,0
0,0,0
1,0,0
0,0,0
0,1,0
